SAL_avg,CellID,Date
4.43E-14,600,2012/5/20
6.97E-14,600,2012/5/21
9.16E-14,600,2012/5/22
1.09E-13,600,2012/5/23
1.26E-13,600,2012/5/24
1.30E-13,600,2012/5/25
1.12E-13,600,2012/5/26
1.16E-13,600,2012/5/27
1.37E-13,600,2012/5/28
1.69E-13,600,2012/5/29
2.12E-13,600,2012/5/30
2.66E-13,600,2012/5/31
4.03E-13,600,2012/6/1
6.22E-13,600,2012/6/2
7.28E-13,600,2012/6/3
8.75E-13,600,2012/6/4
1.12E-12,600,2012/6/5
1.73E-12,600,2012/6/6
2.59E-12,600,2012/6/7
3.39E-12,600,2012/6/8
4.13E-12,600,2012/6/9
5.55E-12,600,2012/6/10
6.64E-12,600,2012/6/11
8.71E-12,600,2012/6/12
1.01E-11,600,2012/6/13
9.89E-12,600,2012/6/14
1.30E-11,600,2012/6/15
1.44E-11,600,2012/6/16
1.57E-11,600,2012/6/17
1.77E-11,600,2012/6/18
2.29E-11,600,2012/6/19
2.86E-11,600,2012/6/20
3.21E-11,600,2012/6/21
3.66E-11,600,2012/6/22
4.19E-11,600,2012/6/23
4.73E-11,600,2012/6/24
5.97E-11,600,2012/6/25
6.74E-11,600,2012/6/26
7.80E-11,600,2012/6/27
8.51E-11,600,2012/6/28
9.48E-11,600,2012/6/29
1.04E-10,600,2012/6/30
1.15E-10,600,2012/7/1
1.31E-10,600,2012/7/2
1.44E-10,600,2012/7/3
1.78E-10,600,2012/7/4
2.11E-10,600,2012/7/5
2.55E-10,600,2012/7/6
3.00E-10,600,2012/7/7
3.44E-10,600,2012/7/8
3.95E-10,600,2012/7/9
4.49E-10,600,2012/7/10
5.06E-10,600,2012/7/11
5.85E-10,600,2012/7/12
6.81E-10,600,2012/7/13
7.71E-10,600,2012/7/14
8.21E-10,600,2012/7/15
8.58E-10,600,2012/7/16
9.09E-10,600,2012/7/17
9.73E-10,600,2012/7/18
1.00E-09,600,2012/7/19
1.05E-09,600,2012/7/20
1.08E-09,600,2012/7/21
1.18E-09,600,2012/7/22
1.34E-09,600,2012/7/23
1.51E-09,600,2012/7/24
1.87E-09,600,2012/7/25
2.07E-09,600,2012/7/26
2.11E-09,600,2012/7/27
2.12E-09,600,2012/7/28
2.30E-09,600,2012/7/29
2.44E-09,600,2012/7/30
2.58E-09,600,2012/7/31
2.94E-09,600,2012/8/1
3.05E-09,600,2012/8/2
3.26E-09,600,2012/8/3
3.20E-09,600,2012/8/4
3.39E-09,600,2012/8/5
3.74E-09,600,2012/8/6
4.06E-09,600,2012/8/7
4.31E-09,600,2012/8/8
4.38E-09,600,2012/8/9
4.62E-09,600,2012/8/10
5.49E-09,600,2012/8/11
6.37E-09,600,2012/8/12
6.82E-09,600,2012/8/13
7.05E-09,600,2012/8/14
6.87E-09,600,2012/8/15
6.64E-09,600,2012/8/16
6.40E-09,600,2012/8/17
6.18E-09,600,2012/8/18
6.08E-09,600,2012/8/19
6.04E-09,600,2012/8/20
6.15E-09,600,2012/8/21
6.42E-09,600,2012/8/22
